0.712421;0.315556;0.348205;0.327646;0.460396;0.641374;0.505403;0.431756;0.329257;0.297727;
0.667715;0.322677;0.282368;0.313641;0.30551;0.306086;0.274334;0.306477;0.328209;0.286465;
0.735752;0.287463;0.450202;0.306419;0.661273;0.547741;1.03795;0.364444;0.343739;0.352889;
0.304632;0.46753;0.344488;0.382383;0.308682;0.349011;0.399869;0.318785;0.350996;0.278057;
0.323649;0.292233;0.312398;0.323046;0.312887;0.535649;0.454423;0.310067;0.423969;0.310405;
0.339274;0.348691;0.389068;0.64274;0.425009;0.433455;0.280119;0.290213;0.309444;0.417947;
0.680337;0.284072;1.31142;1.04636;0.552993;0.848793;0.30626;0.396866;0.446425;0.342689;
0.623134;0.277524;0.274585;0.529811;0.640047;0.332812;0.30948;0.420055;0.284243;0.425245;
0.411207;0.308874;0.319869;0.421676;0.278349;0.286752;0.316392;0.336426;0.305914;0.38685;
0.64598;0.953383;0.513669;0.320381;0.483358;0.319903;0.310516;0.280751;0.323398;0.43476;
0.857024;0.426546;0.411817;0.388168;0.316177;0.416123;0.291355;0.330997;0.307545;0.328024;
